Nome,Categoria,Raridade,Efeito,Efeito_Jogador,Valor (Sins),Obtenção,Tipo de Craft,Ingredientes,Tags,Lore/Notas,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18
Arma Leve Contundente +2,Arma,Exótico,Leve Contundente. 3d6+2. +4 em Atacar. -1 Atacar ao alvo se acertá-lo duas vezes na mesma rodada.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Leve Contundente +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Coração Bestial,Consumível,Luxária,"Ao consumir: +2 permanente em Força ou Constituição (1 uso, irreversível). Perde 1d4 de Éter máximo permanente.",,6d12+80,Drop CR≥3,Não-craftável,,Uso Único,,,,,,,,,,,,,,,,,,,
Arma Leve Ágil +2,Arma,Exótico,Leve Ágil. 3d4+2. +4 em Atacar. +1 Atacar se você tiver se movido neste turno.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Leve Ágil +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Arma Pesada Cortante +2,Arma,Exótico,Pesada Cortante. 3d12+2. +4 em Atacar. Aplica Sangramento 1 no Crítico.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Pesada Cortante +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Arma Pesada Perfurante +2,Arma,Exótico,Pesada Perfurante. 3d8+2. +4 em Atacar. Ignora 2 de Evasão.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Pesada Perfurante +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Arma Pesada Contundente +2,Arma,Exótico,Pesada Contundente. 3d10+2. +4 em Atacar. Aplica Desorientado no Crítico.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Pesada Contundente +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Arma Pesada Brutal +2,Arma,Exótico,"Pesada Brutal. 4d6+2. +4 em Atacar. Ao rolar 2 dados iguais, +1d6.",,6d10+40,"Loja, Drop",Ferraria,1x Arma Pesada Brutal +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Arma Marcial Versátil +2,Arma,Exótico,Marcial Versátil. 3d8+2. +4 em Atacar.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Marcial Versátil +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Arma Marcial Precisa +2,Arma,Exótico,Marcial Precisa. 3d8+2. +4 em Atacar. Crítico de 9 (em vez de 10).,,6d10+40,"Loja, Drop",Ferraria,1x Arma Marcial Precisa +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Arma Marcial Longa +2,Arma,Exótico,"Marcial Longa. 3d6+2. +4 em Atacar. Alcance +1,5m.",,6d10+40,"Loja, Drop",Ferraria,1x Arma Marcial Longa +1 + 2x Madeira Mística,,,,,,,,,,,,,,,,,,,,
Arma Distância Simples +2,Arma,Exótico,Distância Simples. 3d6+2. +4 em Atacar. +1 Atacar se não tiver se movido nesta rodada. Alcance 18m.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Distância Simples +1 + 2x Madeira Mística,,,,,,,,,,,,,,,,,,,,
Arma Distância Pesada +2,Arma,Exótico,Distância Pesada. 3d10+2. +4 em Atacar. Crítico de 8 (em vez de 10). Alcance 18m.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Distância Pesada +1 + 2x Madeira Mística,,,,,,,,,,,,,,,,,,,,
Arma Arremesso +2,Arma,Exótico,"Arremesso. 3d4+2. +4 em Atacar. Se a menos de 3m do alvo, +1d4 de dano. Alcance 9m.",,6d10+40,"Loja, Drop",Ferraria,1x Arma Arremesso +1 + 2x Madeira Mística,,,,,,,,,,,,,,,,,,,,
Flechas de Nafta,Munição,Exótico,"[Distância Simples] +1d6 Fogo no acerto. Crítico: Em Chamas + área 1,5m fica Em Chamas. Empilhável: pesa 1 bugiganga a cada 10 unidades.",,6d10+40,Drop CR≥3,Não-craftável,,Munição/Distância Simples,,,,,,,,,,,,,,,,,,,
Flechas da Praga,Munição,Exótico,[Distância Simples] +1d6 Necrótico no acerto. Reduz cura do alvo pela metade por 1 rodada. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,Drop CR≥3,Não-craftável,,Munição/Distância Simples,Pontas banhadas na Praga-Vhelor por cultistas revavenanos.,,,,,,,,,,,,,,,,,,
Munição Fragmentadora,Munição,Exótico,"[Distância Pesada] No acerto, estilhaça: 1d6 Cortante a alvos em 1,5m do alvo principal. Empilhável: pesa 1 bugiganga a cada 10 unidades.",,6d10+40,"Drop, Loja",Não-craftável,,Munição/Distância Pesada,,,,,,,,,,,,,,,,,,,
Munição de Prata Rúnica,Munição,Exótico,[Distância Pesada] +1d6 Radiante. Crítico contra mortos-vivos/corrompidos: dano máximo. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,"Drop, Loja",Não-craftável,,Munição/Distância Pesada,,,,,,,,,,,,,,,,,,,
Conjunto Explosivo,Munição,Exótico,"[Arremesso] +1d6 Fogo em área de 1,5m. Reflexos para metade. Empilhável: pesa 1 bugiganga a cada 10 unidades.",,6d10+40,"Drop, Loja",Não-craftável,,Munição/Arremesso,,,,,,,,,,,,,,,,,,,
Lança de Fogo,Munição,Incomum,[Arremesso] Arremessável. +1d4 Fogo no acerto. Crítico: alvo fica Em Chamas. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Munição/Arremesso,,,,,,,,,,,,,,,,,,,
Flechas Incendiárias,Munição,Incomum,[Distância Simples] +1d4 Fogo no acerto. Crítico: alvo fica Em Chamas. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Munição/Distância Simples,,,,,,,,,,,,,,,,,,,
Flechas Gélidas,Munição,Incomum,[Distância Simples] +1d4 Frio no acerto. Crítico: Lento 1. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Munição/Distância Simples,,,,,,,,,,,,,,,,,,,
Flechas Elétricas,Munição,Incomum,[Distância Simples] +1d4 Elétrico no acerto. Crítico: Atordoado 1 rodada. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Munição/Distância Simples,,,,,,,,,,,,,,,,,,,
Virotes Perfurantes,Munição,Incomum,[Distância Simples] Ignora 5 de Armadura no acerto. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Munição/Distância Simples,,,,,,,,,,,,,,,,,,,
Virotes Venenosos,Munição,Incomum,[Distância Simples] +1d4 Veneno no acerto. Fort ou Envenenado. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Munição/Distância Simples,,,,,,,,,,,,,,,,,,,
Óleo Sagrado,Consumível,Incomum,Aplicado em arma: +1d6 Radiante por 3 ataques. +1d6 extra contra Corrompidos e Mortos-Vivos.,,5d6+15,"Alquimista, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Óleo",,,,,,,,,,,,,,,,,,,
Elíxir de Éter Menor,Consumível,Incomum,Recupera 1d6+Int de Éter.,,5d6+15,"Alquimista, Loja",Alquimia,2x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Comida Alquímica,Consumível,Incomum,Refeição completa. Descanso longo: +1d8 adicional em 1 status a escolha.,,5d6+15,"Alquimista, Loja",Alquimia,2x Reagente Alquímico (x1),Uso Único,,,,,,,,,,,,,,,,,,,
Elixir da Expurgão,Consumível,Exótico,Remove 1 Marca da Vhelor. Não funciona acima da Marca 4.,Purga uma corrupção persistente do corpo. Ineficaz contra males profundos demais.,6d10+40,"Alquimista, Loja",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",Destilado de prece e química por clérigos de Karmath em Revavena. Frasco vendido caro e em segredo.,,,,,,,,,,,,,,,,,,
Elíxir de Éter Moderado,Consumível,Exótico,Recupera 2d6+Int de Éter.,,6d10+40,"Alquimista, Loja",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Caixa Harmônica,Bugiganga,Incomum,Mecanismo de corda. Toca melodia que concede +2 em Vontade a aliados em 6m por 1 cena. 1 uso por descanso longo.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Engenhoca,,,,,,,,,,,,,,,,,,,
Arpéu Mecânico,Bugiganga,Exótico,"Braço mecânico de mola. 1x por combate: como reação, agarra um alvo em 4,5m e o puxa para perto de você (Movimento CD 14 para resistir).",,6d10+40,"Drop CR≥3, Loja",Engenharia,1x Mecanismo Arcano,Travessia,,,,,,,,,,,,,,,,,,,
Máscara de Respiro,Bugiganga,Exótico,"Máscara com filtro. Imune a efeitos inalados (Gás Necrótico, Sonífero, esporos). +4 Fortitude contra Veneno por inalação. Vestível.",,6d10+40,"Drop CR≥3, Loja",Engenharia,1x Trama Etérea,Sobrevivência,Usada por operadores das fábricas de seiva de Khaskavel.,,,,,,,,,,,,,,,,,,
Calçados de Mola,Bugiganga,Incomum,Calçados com molas. Anula dano de queda até 30m. +2 Movimento ao saltar.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Travessia,,,,,,,,,,,,,,,,,,,
Lança-Gancho,Bugiganga,Incomum,Dispara gancho a 9m. Permite escalar ou puxar-se até o ponto como 1 ação. +2 em Movimento ao escalar com ele.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Travessia,,,,,,,,,,,,,,,,,,,
Armadilha de Pregos,Bugiganga,Incomum,"Ao plantar: dispara quando criatura passa em 1,5m, causando 2d6 Perfurante. Reflexos CD 13 para metade. Reutilizável.",,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Armadilha,,,,,,,,,,,,,,,,,,,
Regulador Temporal,Bugiganga,Exótico,"Dispositivo de corda. Ao ativar (1 ação), emite pulso que concede +1 Ação ao portador na próxima rodada. Recarrega em descanso longo.",,6d10+40,Drop CR≥3,Engenharia,1x Mecanismo Arcano,Engenhoca,Engenharia de Aether; acelera o tempo percebido do usuário por um instante.,,,,,,,,,,,,,,,,,,
Lente do Teurgo,Bugiganga,Incomum,Lente de cristal lapidado. +4 Místico ao examinar misticidade.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Exploração,Ferramenta de teurgos pesquisadores como Kheyos.,,,,,,,,,,,,,,,,,,
Diário de Hadran,Bugiganga,Exótico,"Contra cada clone-boss (Vorn, Klaus, Runa, Azgar, Sinikko), uma única vez: declare antes de rolar e cause o dano máximo possível em uma instância de rolagem de dano contra ele. Item único.",,6d10+40,Único/Quest,Não-craftável,,Exploração,"Drop de Hadran Vorgil, caso os jogadores o matem. Contém anotações de décadas sobre os soldados originais que ele treinou — e suas fraquezas, agora distorcidas nos clones.",,,,,,,,,,,,,,,,,,
Seiva da Vhelor,Consumível,Incomum,Recupera 2d6 de Saúde e Stamina e remove Desorientado e Atordoado. Uso repetido causa dependência e corrupção progressiva (ver Substâncias da Grande Árvore). Empilhável: pesa 1 bugiganga a cada 10 unidades.,Cura ferimentos rapidamente. O uso contínuo deixa marcas em quem a bebe.,5d6+15,"Drop CR≤2, Loja",Não-craftável,,"Curativo, Uso Único","Substância da Vhelor. Vendida barata pelo Culto na Embrenha de Khaskavel. Cura agora, escraviza depois.",,,,,,,,,,,,,,,,,,
Bisturi de Mira,Bugiganga,Exótico,Instrumento cirúrgico de precisão. 3x por descanso longo: cura 2d6 de Saúde e remove 1 condição de uma criatura ao alcance de toque. Item único.,,6d10+40,"Quest (Mira), Drop",Não-craftável,,Médico,"Drop de Mira Vesnal, caso os jogadores a matem. Suas ferramentas, afiadas por uma década salvando viciados que ninguém mais quis tratar.",,,,,,,,,,,,,,,,,,
Folha Amarela,Consumível,Luxária,"+1 ponto de atributo permanente à escolha. Adiciona 1 Marca da Vhelor (track de corrupção, ver Substâncias da Grande Árvore). Cada folha consumida nutre a Vhelor, fortalecendo-a.",+1 ponto de atributo permanente à escolha. Dizem que o consumo repetido cobra um preço sobre o corpo e a mente.,6d12+80,"Drop CR≥3, Único/Quest",Não-craftável,,"Permanente, Uso Único",A substância mais rara e cobiçada da árvore. Nunca cai — colhida na copa por Colhedores que frequentemente morrem na tentativa. Poder a um custo brutal.,,,,,,,,,,,,,,,,,,
Casca de Raiz,Consumível,Ordinário,"Sacia como refeição completa (substitui Comida em um descanso). Ao dormir após consumir, sonha fragmentos do Sonhador. Uso repetido cria vínculo onírico permanente (ver Substâncias da Grande Árvore). Empilhável: pesa 1 bugiganga a cada 10 unidades.",Substitui uma refeição (Comida) em um descanso. Dizem que altera o sono de quem a consome com frequência.,2d10,"Drop CR≤2, Único/Quest",Não-craftável,,"Uso Único, Utilidade","Casca das raízes expostas da Vhelor. Comestível, abundante perto da árvore — e perturbadora a longo prazo.",,,,,,,,,,,,,,,,,,
Arma Marcial Pesada +2,Arma,Exótico,"Marcial Pesada. 3d10+2. +4 em Atacar. Ao acertar, pode empurrar o alvo 1,5m.",,6d10+40,"Loja, Drop",Ferraria,1x Arma Marcial Pesada +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Lágrima de Velúria,Consumível,Luxária,"Recupera todo o Éter máximo do portador ao consumir. Adicionalmente, Ganha +1 mão de cartas do limiar. 1 uso. Item único.",,6d12+80,Único/Quest,Não-craftável,,Uso Único,"Lágrima de Velúria, a deusa da magia, cristalizada no Limiar. Energia primordial pura.",,,,,,,,,,,,,,,,,,
Semente da Vhelor,Consumível,Luxária,"+1 ponto de atributo permanente à escolha, SEM adicionar Marca da Vhelor. Porém, consumi-la instantaneamente te transforma em um ser pecaminoso. Item único.","+1 ponto de atributo permanente à escolha, sem o preço habitual da folha. Extremamente rara.",6d12+80,Único/Quest,Não-craftável,,"Permanente, Uso Único",Semente intacta da Vhelor.,,,,,,,,,,,,,,,,,,
Lanterna Arcana,Bugiganga,Incomum,Luz 9m. Revela criaturas invisíveis dentro do alcance.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Luz,,,,,,,,,,,,,,,,,,,
Barra de Ferro,Material,Ordinário,Ingrediente-base de craft (metal). Usado em receitas de Ferraria e Engenharia da raridade Ordinário. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Couro de Caça,Material,Ordinário,Ingrediente-base de craft (couro). Usado em receitas de Ferraria e Engenharia da raridade Ordinário. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Madeira Comum,Material,Ordinário,Ingrediente-base de craft (madeira). Usado em receitas de Ferraria e Engenharia da raridade Ordinário. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Peça Mecânica,Material,Ordinário,Ingrediente-base de craft (mecânica). Usado em receitas de Ferraria e Engenharia da raridade Ordinário. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Tecido Resistente,Material,Ordinário,Ingrediente-base de craft (tecido). Usado em receitas de Ferraria e Engenharia da raridade Ordinário. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Aço Temperado,Material,Incomum,Ingrediente-base de craft (metal). Usado em receitas de Ferraria e Engenharia da raridade Incomum. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Couro Refinado,Material,Incomum,Ingrediente-base de craft (couro). Usado em receitas de Ferraria e Engenharia da raridade Incomum. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Madeira Nobre,Material,Incomum,Ingrediente-base de craft (madeira). Usado em receitas de Ferraria e Engenharia da raridade Incomum. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Engrenagem,Material,Incomum,Ingrediente-base de craft (mecânica). Usado em receitas de Ferraria e Engenharia da raridade Incomum. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Fibra Sintética,Material,Incomum,Ingrediente-base de craft (tecido). Usado em receitas de Ferraria e Engenharia da raridade Incomum. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Liga Rúnica,Material,Exótico,Ingrediente-base de craft (metal). Usado em receitas de Ferraria e Engenharia da raridade Exótico. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Couro Bestial,Material,Exótico,Ingrediente-base de craft (couro). Usado em receitas de Ferraria e Engenharia da raridade Exótico. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Madeira Mística,Material,Exótico,Ingrediente-base de craft (madeira). Usado em receitas de Ferraria e Engenharia da raridade Exótico. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Mecanismo Arcano,Material,Exótico,Ingrediente-base de craft (mecânica). Usado em receitas de Ferraria e Engenharia da raridade Exótico. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Trama Etérea,Material,Exótico,Ingrediente-base de craft (tecido). Usado em receitas de Ferraria e Engenharia da raridade Exótico. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Liga Primordial,Material,Luxária,Ingrediente-base de craft (metal). Usado em receitas de Ferraria e Engenharia da raridade Luxária. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d12+80,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Pele de Dragão,Material,Luxária,Ingrediente-base de craft (couro). Usado em receitas de Ferraria e Engenharia da raridade Luxária. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d12+80,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Madeira da Vhelor,Material,Luxária,Ingrediente-base de craft (madeira). Usado em receitas de Ferraria e Engenharia da raridade Luxária. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d12+80,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Coração Mecânico,Material,Luxária,Ingrediente-base de craft (mecânica). Usado em receitas de Ferraria e Engenharia da raridade Luxária. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d12+80,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Fio do Destino,Material,Luxária,Ingrediente-base de craft (tecido). Usado em receitas de Ferraria e Engenharia da raridade Luxária. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d12+80,"[""Loja"",""Drop""]",Não-craftável,,,Ingrediente-base do sistema de crafting.,,,,,,,,,,,,,,,,,,
Foco de Destruição +2,Arma,Exótico,"Foco Místico (Destruição). Permite canalizar magias da escola de Destruição. Requer Treinado em Místico. +2 Místico, +10 Éter máximo.",,6d10+40,"Loja, Drop",Não-craftável,,Foco/Destruição,,,,,,,,,,,,,,,,,,,
Foco de Abjuração +2,Arma,Exótico,"Foco Místico (Abjuração). Permite canalizar magias da escola de Abjuração. Requer Treinado em Místico. +2 Místico, +10 Éter máximo.",,6d10+40,"Loja, Drop",Não-craftável,,Foco/Abjuração,,,,,,,,,,,,,,,,,,,
Foco de Alteração +2,Arma,Exótico,"Foco Místico (Alteração). Permite canalizar magias da escola de Alteração. Requer Treinado em Místico. +2 Místico, +10 Éter máximo.",,6d10+40,"Loja, Drop",Não-craftável,,Foco/Alteração,,,,,,,,,,,,,,,,,,,
Foco de Conhecimento +2,Arma,Exótico,"Foco Místico (Conhecimento). Permite canalizar magias da escola de Conhecimento. Requer Treinado em Místico. +2 Místico, +10 Éter máximo.",,6d10+40,"Loja, Drop",Não-craftável,,Foco/Conhecimento,,,,,,,,,,,,,,,,,,,
Foco da Conflagração,Arma,Exótico,"Foco Místico (Destruição). Permite canalizar magias da escola de Destruição. +2 Místico, +10 Éter máximo. Ao conjurar magia de Destruição em área, rerole os resultados 1 nos dados de dano. Requer Treinado em Místico.",,6d10+40,"Drop, Loja",Não-craftável,,Foco/Destruição,,,,,,,,,,,,,,,,,,,
Foco do Baluarte,Arma,Exótico,"Foco Místico (Abjuração). Permite canalizar magias da escola de Abjuração. +2 Místico, +10 Éter máximo. Escudos e barreiras criados por suas magias de Abjuração ganham +10 de saúde. Requer Treinado em Místico.",,6d10+40,"Drop, Loja",Não-craftável,,Foco/Abjuração,,,,,,,,,,,,,,,,,,,
Foco da Maré,Arma,Exótico,"Foco Místico (Alteração). Permite canalizar magias da escola de Alteração. +2 Místico, +10 Éter máximo. 1x por combate: ao conjurar Alteração, desloca um alvo em 3m (Vontade resiste). Requer Treinado em Místico.",,6d10+40,"Drop, Loja",Não-craftável,,Foco/Alteração,,,,,,,,,,,,,,,,,,,
Foco da Premonição,Arma,Exótico,"Foco Místico (Conhecimento). Permite canalizar magias da escola de Conhecimento. +2 Místico, +10 Éter máximo. 1x por combate: força uma criatura a repetir um teste de ataque ou resistência, ficando com o pior resultado. Requer Treinado em Místico.",,6d10+40,"Drop, Loja",Não-craftável,,Foco/Conhecimento,,,,,,,,,,,,,,,,,,,
Martelo Glacial,Arma,Incomum,Pesada Contundente. 1d10+1d4 Frio. Crítico: Lento 1. Aplica Desorientado no Crítico.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Shuriken Retornante,Arma,Incomum,"Arremesso. 1d4. Retorna à mão após o ataque. Utilizável infinitamente sem munição(item:Conjunto de Arremesso.) Se a menos de 3m do alvo, +1d4 de dano. Alcance 9m.",,5d6+15,"Drop CR≥3, Loja",Não-craftável,,Arremesso,,,,,,,,,,,,,,,,,,,
Arco Elétrico,Arma,Incomum,Distância Simples. 1d6+1d4 Elétrico. Crítico: Fortitude ou Atordoado. +1 Atacar se não tiver se movido nesta rodada. Alcance 18m.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Adaga Venenosa,Arma,Incomum,Leve Perfurante. 1d4+1d4 Veneno. Fort ou Enjoado. Ignora 1 de Evasão.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Maça Ácida,Arma,Incomum,Pesada Contundente. 1d10+1d4 Ácido. Ignora resistência a dano Contundente. Aplica Desorientado no Crítico.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Espada Flamejante,Arma,Incomum,Leve Cortante. 1d6+1d4 Fogo. Crítico: alvo fica Em Chamas. +1 de dano para cada ataque sucessivo na mesma rodada contra o mesmo alvo.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Lâmina de Hyven,Arma,Incomum,Marcial Precisa. 1d8 + 1d4 Elétrico. Crítico: Requer Treinado em Marciais. Crítico de 9 (em vez de 10).,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,Lâmina dos autômatos Hyven de Aether; pulsa com corrente mística.,,,,,,,,,,,,,,,,,,
Presa Gélida,Arma,Incomum,Leve Perfurante. 1d4 + 1d4 Frio. Ignora 1 de Evasão. Crítico: Lento 1. Requer Des ≥ 12.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,"Presa arrancada de feras do norte gelado, mantém o frio eterno.",,,,,,,,,,,,,,,,,,
Lança de Casca-Seiva,Arma,Incomum,"Marcial Longa. 1d6 + 1d4 Veneno. Alcance +1,5m. Fort ou Envenenado. Requer Treinado em Marciais.",,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,Haste talhada da casca da Vhelor; a seiva impregnada nunca seca.,,,,,,,,,,,,,,,,,,
Faca das Brasas,Arma,Incomum,Leve Ágil. 1d4 + 1d4 Fogo. Crítico: alvo fica Em Chamas. Requer Des ≥ 12. +1 Atacar se você tiver se movido neste turno.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,"Faca de braços ágeis, forjada com carvão vivo de Khaskavel.",,,,,,,,,,,,,,,,,,
Machado da Fornalha,Arma,Incomum,Pesada Cortante. 1d12 + 1d4 Fogo. Fortitude ou Sangramento 1 + Em Chamas no crítico. Requer For ≥ 12.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,,"Forjado nas fornalhas industriais de Khaskavel, ainda quente ao toque.",,,,,,,,,,,,,,,,,,
Arma Leve Cortante +1,Arma,Incomum,Leve Cortante. 2d6+1. +2 em Atacar. +1 de dano para cada ataque sucessivo na mesma rodada contra o mesmo alvo.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Leve Cortante + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Leve Perfurante +1,Arma,Incomum,Leve Perfurante. 2d4+1. +2 em Atacar. Ignora 1 de Evasão.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Leve Perfurante + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Leve Contundente +1,Arma,Incomum,Leve Contundente. 2d6+1. +2 em Atacar. -1 Atacar ao alvo se acertá-lo duas vezes na mesma rodada.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Leve Contundente + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Leve Ágil +1,Arma,Incomum,Leve Ágil. 2d4+1. +2 em Atacar. +1 Atacar se você tiver se movido neste turno.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Leve Ágil + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Pesada Cortante +1,Arma,Incomum,Pesada Cortante. 2d12+1. +2 em Atacar. Aplica Sangramento 1 no Crítico.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Pesada Cortante + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
